q_id,image_id,question,answer,full_answer
14145991,369,Are the white blinds to the right of a clock?,yes,"Yes, the blinds are to the right of a clock."
16906415,2379051,Which kind of furniture is to the left of the bed?,nightstand,The piece of furniture is a nightstand.
0294499,1592605,Are there any bikes or cars?,yes,"Yes, there is a bike."
07125126,2414837,What is the man guiding?,bicycle,The man is guiding the bicycle.
13561987,2362341,What is the avocado on?,counter,The avocado is on the counter.
15472689,286078,What is the color of the shirt the woman is wearing?,orange,The shirt is orange.
12757581,2387058,What cooking utensil is left of the oven?,baking sheet,The cooking utensil is a baking sheet.
07639953,2330855,What is in the box?,pizza,The pizza is in the box.
12963506,572,What is the device on the pillow on the right side?,laptop,The device is a laptop.
15276125,2408849,Are there any bags or coats that are purple?,yes,"Yes, the coat is purple."
00994731,2387564,What kind of clothing isn't orange?,hat,The clothing is a hat.
02912472,2357473,Which color do you think the device that the woman is holding is?,pink,The cellphone is pink.
19390027,2353391,What do you think is the animal in front of the weeds called?,zebra,The animal is a zebra.
06177054,2392310,Which kind of appliance is stained?,pizza oven,The appliance is a pizza oven.
14455724,2317480,The girl is watching what?,television,The girl is watching the TV.
08661932,2326633,Who is wearing eyeglasses?,lady,The lady is wearing eyeglasses.
01529817,4422,Is there a woman to the right of the person behind the computer?,yes,"Yes, there is a woman to the right of the person."
17604190,2373768,Are there children to the right of the dessert on the napkin?,no,"No, there is a plate to the right of the cake."
06582118,2383494,Does the city look paved?,yes,"Yes, the city is paved."
02206962,2393899,Are there chairs or televisions that are silver?,yes,"Yes, the television is silver."
07171984,2410081,What is in front of the trees?,parking meter,The parking meter is in front of the trees.
1313960,2396612,What is the name of the device that is the same color as the shirt the woman is wearing?,laptop,The device is a laptop.
11430982,2141,On which side of the photo is the microwave?,left,The microwave is on the left of the image.
17420868,2337792,Who is in front of the chair on the right of the picture?,woman,The woman is in front of the chair.
04469385,2378373,What kind of animal runs through the field?,zebra,The animal is a zebra.
17801829,2344918,Is there a traffic light or a bike in this picture?,yes,"Yes, there is a traffic light."
06295323,2390679,What is on the coffee table?,lamp,The lamp is on the coffee table.
0239133,2353623,Is the baseball player on the right side of the picture?,no,"No, the player is on the left of the image."
0181468,2375373,The leaves are in front of what?,rocks,The leaves are in front of the rocks.
08632635,2351063,Are there bags or coats that are brown?,yes,"Yes, the coat is brown."
15112496,2377308,Are there any cell phones in this picture?,no,"No, there are no cell phones."
10930199,2335928,What is the piece of furniture to the left of the dishwasher?,drawer,The piece of furniture is a drawer.
18692997,2380791,What is the TV in front of?,bed,The TV is in front of the bed.
00388775,2404988,Is the smiling man to the left of the food wearing glasses?,yes,"Yes, the man is wearing glasses."
15587569,2412825,"Which kind of food is green, the lemon or the onion?",onion,The onion is green.
09537823,2390081,What is the sign that hangs on the pole made of metal?,stop sign,The sign is a stop sign.
17159364,2377797,What color does the horse that is to the left of the man have?,light brown,The horse has light brown color.
03514396,2414822,What is the barefoot boy holding?,bat,The boy is holding the bat.
01417784,2406557,Which color is the shirt the man wears?,red,The shirt is red.
17407496,2330138,Who wears a ring?,lady,The lady wears a ring.
10321651,2318452,What is on the napkin?,fork,The fork is on the napkin.
09597184,2321322,"On which side is the book, the right or the left?",left,The book is on the left of the image.
14643774,2392636,On which side of the image is the pillow?,left,The pillow is on the left of the image.
05319064,2394814,On which side of the image are the chairs?,right,The chairs are on the right of the image.
08169749,2339001,Which color is the jacket the man wears?,black,The jacket is black.
13459763,2397157,Is the tray to the left or to the right of the plate that looks green?,right,The tray is to the right of the plate.
